outcomeId,outcomeName
4152351,"Abdominal distension, gaseous"
381572,Abducens nerve palsy
443585,Abrasion and/or friction burn of multiple sites
436445,Abrasion of tooth
4058350,"Abrasion, knee"
4310082,Accidental poisoning by cannabis derivatives
436615,Accidental poisoning from berries and seeds
438719,Active rickets
433454,Adjustment disorder with mixed emotional features
4173136,Agnosia
76725,Anal fissure
434374,Anisocoria
312934,Atherosclerosis of aorta
313217,Atrial fibrillation
316135,Atrioventricular block
4045471,Autoimmune reaction mediated by cell-mediated immunity
45763685,Avulsion fracture of medial epicondyle of humerus
4162322,Beta-adrenoceptor agonist poisoning
134765,Cachexia
433758,Childhood emotional disorder
434344,Ciliary muscle spasm
81426,Closed fracture of clavicle
46269889,Complication due to Crohn's disease
443617,Conduct disorder
319835,Congestive heart failure
75860,Constipation
138604,"Contusion of face, scalp and neck, excluding eye(s)"
4311591,Cramp in limb
80242,Current tear of medial cartilage AND/OR meniscus of knee
40481358,Cutis laxa of upper eyelid
435796,Dehydration
77066,Derangement of medial meniscus
438759,Descemet's membrane fold
377910,Deviated nasal septum
443238,Diabetic - poor control
442988,Digestant poisoning
320739,Dissection of aorta
4164898,Diverticulosis of large intestine without diverticulitis
433440,Dysthymia
40481089,Embolism from thrombosis of vein of lower extremity
320128,Essential hypertension
380403,External hordeolum
4147411,Follicular non-Hodgkin's lymphoma
4128914,Fracture of multiple ribs
318800,Gastroesophageal reflux disease
197988,Generalized abdominal pain
434613,Generalized anxiety disorder
4168217,Generalized hyperhidrosis
40489449,Greenstick fracture of distal radius
4204199,Hand pain
198400,Hemangioma of skin and subcutaneous tissue
438111,Hematologic neoplasm of uncertain behavior
40480429,Hemiplegia of nondominant side
4163735,Hemochromatosis
195562,Hemorrhoids
4038839,"Hodgkin lymphoma, nodular lymphocyte predominance"
4038842,"Hodgkin's disease, nodular sclerosis"
4012934,Homocystinuria
433985,Hypercarotinemia
4295287,Hypercoagulability state
376415,Hypermetropia
4287416,Hyperphenylalaninemia
438134,Hypersomnia
4098611,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease
435515,Hypo-osmolality and or hyponatremia
435510,Hypocalcemia
440072,Hypogammaglobulinemia
437833,Hypokalemia
4098604,Hypomagnesemia
374375,Impacted cerumen
4344500,Impingement syndrome of shoulder region
4044708,"Langerhans cell histiocytosis, unifocal"
437176,Late effect of accidental fall
4176310,Late effect of epidural hematoma due to trauma
141667,Laxity of ligament
4031128,Lipoma of skin and subcutaneous tissue of limb
435516,Lipoprotein deficiency disorder
436311,Local anti-infective and anti-inflammatory poisoning
4210746,Localized amyloidosis
4171917,Localized edema
4171919,"Localized swelling, mass and lump, lower limb"
317002,Low blood pressure
4044404,Lumbosacral plexus neuropathy
37109493,Macular hole of left eye
4282096,"Major depression, single episode"
40481901,Mantle cell lymphoma
78472,Microscopic hematuria
434002,Mineral deficiency
43531028,Mononeuropathy of lower limb
434005,Morbid obesity
137967,"Muscle, ligament and fascia disorders"
134315,Myelophthisis
31967,Nausea
24134,Neck pain
4035269,Non-ketotic hyperglycinemia
4158911,Non-rheumatic heart valve disorder
4031164,Non-scarring alopecia
444428,Nonvenomous insect bite without infection
4079750,Osteoarthritis of knee
45768450,Pain due to varicose veins of lower extremity
762294,Pain in right foot
42539051,Pain of intercostal space
45769207,Pain provoked by trauma
315078,Palpitations
440691,Paranoid personality disorder
433450,Paranoid schizophrenia
433084,Parasympatholytic and spasmolytic poisoning
4236484,Paresthesia
141474,Partial thickness burn of hand
375292,Perforation of tympanic membrane
321596,Peripheral venous insufficiency
78162,Peripheral vertigo
40481920,Periumbilical pain
438122,Persistent hyperplasia of thymus
81382,Pigmented villonodular synovitis
4071059,Plagiocephaly
134460,Plantar fascial fibromatosis
439233,Poisoning by antidiabetic agent
433080,Poisoning by cardiac rhythm regulator
4191487,Poisoning by caterpillar
433647,Poisoning by central nervous system muscle tone depressant
437168,Poisoning by erythromycin AND/OR other macrolide
4020145,Poisoning by histamine H2-receptor antagonists
436860,Poisoning by irritant cathartic
438915,Poisoning by penicillin
443703,Poisoning by propionic acid derivative
440923,Poisoning by surface (topical) AND/OR infiltration anesthetic
440924,Poisoning by vasodilator
437194,Poisoning by viral AND/OR rickettsial vaccine
22856,Polyglandular dysfunction
4285898,Polyp of colon
192680,Portal hypertension
37018196,Prediabetes
4157389,Protein deficiency disease
374044,Ptosis of eyelid
4308074,Pyogenic granuloma
4158910,Secondary malignant neoplasm of unknown site
78232,Shoulder joint pain
4015216,Strain of long head of biceps
45766819,Stress fracture of foot
4207539,Syndrome of inappropriate vasopressin secretion
378427,Tear film insufficiency
135852,Teething syndrome
376382,Tension-type headache
4189235,Third cranial nerve weakness
4012690,Thoracic nerve root pain
4327889,Thromboembolism of vein
443428,Torus fracture of radius
437434,Toxic effect from eating mushrooms
437472,Toxic effect of acid
433368,Toxic effect of soap AND/OR detergent
440905,Toxic effect of venom
4056591,Traumatic rupture of lumbar intervertebral disc
201826,Type 2 diabetes mellitus
434625,Undifferentiated somatoform disorder
195590,Urethral stricture
439981,Wound dehiscence
